EngineCylinders,AverageHighwayMPG,AverageCityMPG
4,35,25
4,33,24
4,30,23
4,32,24
4,41,30
4,32,23
4,27,20
4,31,23
4,30,22
4,32,22
4,29,21
4,31,21
4,34,27
4,36,23
4,25,19
4,34,26
4,30,22
4,25,19
4,31,24
4,29,21
4,27,20
4,38,30
4,37,29
4,34,27
4,30,22
4,27,25
4,39,30
4,30,21
4,31,24
4,27,21
4,33,27
4,27,20
4,30,22
4,36,39
4,29,23
4,34,26
4,35,27
4,30,23
4,33,24
4,31,24
4,31,26
4,33,26
4,27,21
4,28,21
4,27,21
4,33,25
4,30,23
4,35,32
4,28,21
4,33,24
4,29,22
4,32,23
