EngineCylinders,AverageHighwayMPG,AverageCityMPG
8,26,17
8,22,13
8,23,15
8,21,14
8,21,15
8,23,15
8,21,15
8,25,16
8,24,15
8,23,14
8,22,16
8,21,14
8,22,15
8,23,15
8,21,15
8,22,15
8,23,15
8,22,14
8,19,13
8,23,15
8,19,14
8,22,16
8,20,14
8,23,16
8,22,16
8,20,14
8,21,14
8,21,14
8,23,14
8,18,13
